Top250	226	Topgolf	The eatertainment chain developed a new, smaller prototype that will allow it to go into small and midsize cities, greatly expanding its potential market. It was focused on places with between 100,000 and 500,000 residents. The first such location opened in Kirkland, Wash., in January.	144	14.6%	54	14.9%	NA	Varied Menu
Top250	7	Wendy's	NA	9762	4.2%	5852	0.7%	NA	Quick Service & Burger
Top250	248	Lupe Tortilla	NA	127	12.1%	25	8.7%	NA	Mexican
Top250	44	Wingstop	2019 marked Wingstop's 16th consecutive year of comps growth. In October, it said it planned to broaden its offerings to include whole wings to take advantage of lower commodity prices on whole chickens.	1363	19.0%	1231	9.5%	NA	Fast Casual & Chicken
Top250	161	Newk's Eatery	NA	227	0.4%	121	-0.8%	NA	Sandwich
Top250	34	Jimmy John's Gourmet Sandwiches	NA	2105	-1.6%	2787	-0.5%	NA	Fast Casual & Sandwich
Top250	140	Torchy's Tacos	NA	272	17.3%	72	14.3%	Austin, TX	Mexican
Top250	155	Mastro's Restaurants	NA	242	9.7%	18	5.9%	NA	Steak
Top250	24	Jack in the Box	NA	3504	1.1%	2243	0.3%	NA	Quick Service & Burger
Top250	240	WaBa Grill	NA	132	3.7%	191	0.0%	NA	Asian/Noodle
Top250	156	Uncle Julio's	NA	239	11.7%	36	2.9%	NA	Mexican
Top250	247	PDQ	NA	127	-5.5%	56	-11.1%	NA	Chicken
Top250	208	Great Harvest Bread Co.	NA	162	-1.9%	182	-0.5%	NA	Bakery Cafe
Top250	228	Pappasito's Cantina	NA	143	2.2%	25	0.0%	NA	Mexican
Top250	152	Pret A Manger	CEO Clive Schlee retired after 16 years at the helm of the natural foods chain, handing the reign to COO Pano Christou. The transition came in July as Pret prepared to take over U.K. vegetarian chain Eat.	252	4.7%	95	3.3%	NA	Bakery Cafe
Top250	173	J. Alexander's	NA	195	2.8%	34	3.0%	NA	Varied Menu
Top250	38	Culver's	One of the country's fastest-growing chains over the past five years continued that trajectory in 2019, increasing sales by 13.9% and unit count by 6.7%. Because more than half of its sales come from takeout, it was working to improve its drive-thru technology and add mobile ordering.	1795	13.9%	732	6.7%	NA	Quick Service & Burger
Top250	238	Yogurtland	NA	132	-2.6%	267	-2.2%	NA	Frozen Desserts
Top250	235	Mission BBQ	NA	136	25.0%	90	21.6%	NA	BBQ
Top250	177	Le Pain Quotidien	NA	192	1.2%	94	0.0%	NA	Bakery Cafe
Top250	30	Whataburger	NA	2556	5.8%	830	0.6%	NA	Quick Service & Burger
Top250	147	Smashburger	NA	265	-6.5%	312	-3.4%	Denver, CO	Burger
Top250	164	Romano's Macaroni Grill	NA	218	-4.6%	85	-3.4%	NA	Italian/Pizza
Top250	223	Tijuana Flats	NA	147	6.5%	139	2.2%	NA	Mexican
Top250	22	Buffalo Wild Wings	NA	3669	-0.1%	1206	-0.2%	NA	Casual Dining & Sports Bar
Top250	137	Sarku Japan	NA	281	2.4%	224	-0.4%	New York, NY	Asian/Noodle
Top250	46	Jersey Mike's Subs	NA	1340	16.7%	1667	11.6%	NA	Fast Casual & Sandwich
Top250	79	Dutch Bros. Coffee	NA	567	15.0%	369	13.2%	NA	Quick Service & Coffee Cafe
Top250	125	Jet's Pizza	NA	331	-1.8%	383	-1.0%	Sterling Heights, MI	Pizza
Top250	181	Hard Rock Cafe	NA	187	-5.2%	40	-4.8%	NA	Varied Menu
Top250	87	Einstein Bros. Bagels	NA	517	-2.1%	710	-2.6%	NA	Quick Service & Bakery Cafe
Top250	106	Cicis	NA	410	-1.4%	420	0.7%	Coppell, TX	Pizza
Top250	128	Fogo de Chao	NA	326	10.1%	43	13.2%	Plano, TX	Steak
Top250	217	Eat'n Park	NA	152	-6.5%	63	-7.4%	NA	Family Style
Top250	5	Burger King	NA	10204	2.7%	7346	0.2%	NA	Quick Service & Burger
Top250	93	MOD Pizza	NA	483	23.8%	467	18.2%	NA	Fast Casual & Pizza
Top250	116	Zoes Kitchen	NA	348	1.2%	256	-1.5%	Plano, TX	Sandwich
Top250	15	Olive Garden	Olive Garden became the nation's largest casual-dining chain, growing sales 5% in 2019. The Italian chain seems to have had success bucking the delivery trend, delivering only for large orders of at least $75. It has also been focused on training and staffing to improve the dine-in experience.	4287	5.0%	866	1.3%	NA	Casual Dining & Italian/Pizza
Top250	171	Cinnabon	NA	201	5.6%	956	3.5%	NA	Snack
Top250	148	Wienerschnitzel	NA	265	3.6%	330	1.5%	Irvine, CA	Sandwich
Top250	99	Potbelly sandwich Shop	Potbelly closed stores and halted company-owned unit growth last year and hired a consulting firm to help it return to profitability. In a bid to boost operational efficiency, it debuted a new prototype in Chicago that reverses the concept's normal ordering process.	446	-2.5%	471	-1.5%	NA	Quick Service & Sandwich
Top250	118	Krystal Co.	NA	343	-9.0%	318	-10.7%	Dunwoody, GA	Burger
Top250	169	Del Frisco's Double Eagle Steak House	NA	205	12.4%	16	0.0%	NA	Steak
Top250	206	LaRosa's Pizzeria	NA	164	3.7%	66	3.1%	NA	Italian/Pizza
Top250	117	Corner Bakery_Cafe	NA	348	-3.9%	175	-3.8%	Dallas, TX	Bakery Cafe
Top250	184	The Original Pancake House	NA	185	3.1%	141	0.0%	NA	Family Style
Top250	92	Logan's Roadhouse	NA	496	-3.7%	204	-1.0%	NA	Casual Dining & Steak
Top250	222	Bruegger's Bagels	NA	148	-4.5%	210	-2.8%	NA	Bakery Cafe
Top250	209	Shari's Cafe and Pies	NA	161	-2.4%	92	0.0%	NA	Family Style
Top250	49	TGI Fridays	NA	1085	-8.5%	385	-7.9%	NA	Casual Dining & Varied Menu
Top250	201	Metro Diner	NA	171	36.3%	69	3.0%	NA	Family Style
Top250	80	Captain D's Seafood Kitchen	NA	561	3.1%	540	2.1%	NA	Quick Service & Seafood
Top250	119	Benihana	NA	340	1.6%	71	0.0%	Doral, FL	Asian
Top250	100	Hungry Howie's Pizza	NA	439	7.0%	537	-2.4%	NA	Quick Service & Pizza
Top250	63	McAlister's Deli	NA	725	7.0%	460	3.6%	NA	Fast Casual & Sandwich
Top250	41	Red Robin Gourmet Burgers and Brews	A tumultuous year for the burger chain included the retirement of CEO Denny Marie Post, who had been with Red Robin since 2011, and continued attempts by activist investors to force a sale of the company. It named Paul Murphy as its new CEO in September.	1548	-0.3%	556	-3.0%	NA	Casual Dining & Varied Menu
Top250	57	Del Taco	NA	850	4.0%	596	2.8%	NA	Quick Service & Mexican
Top250	205	Joe's Crab Shack	NA	166	-7.4%	53	-7.0%	NA	Seafood
Top250	188	Bubba Gump Shrimp Co.	NA	181	-2.9%	27	0.0%	NA	Seafood
Top250	60	Moe's Southwest Grill	NA	749	2.0%	730	1.5%	NA	Fast Casual & Mexican
Top250	207	Roosters	NA	163	6.7%	42	2.4%	NA	Varied Menu
Top250	178	Sonny's BBQ	NA	191	-8.3%	94	-6.9%	NA	BBQ
Top250	18	Arby's	NA	3884	1.9%	3359	0.9%	NA	Quick Service & Sandwich
Top250	82	First Watch	NA	558	35.1%	368	24.7%	NA	Family Dining & Family Style
Top250	146	Morton's The Steakhouse	NA	266	-1.5%	63	-1.6%	Houston, TX	Steak
Top250	77	Tropical Smoothie Cafe	NA	576	21.8%	834	16.0%	NA	Quick Service & Beverage
Top250	94	Smoothie King	NA	462	11.2%	972	8.0%	NA	Quick Service & Beverage
Top250	111	Texas de Brazil Churrascaria	NA	370	10.5%	58	9.4%	Dallas, TX	Steak
Top250	154	Huddle House	NA	247	0.9%	342	-2.6%	NA	Family Style
Top250	245	Gyu-Kaku	NA	129	18.6%	52	8.3%	NA	Asian
Top250	97	Round Table Pizza	NA	450	1.3%	435	0.7%	NA	Quick Service & Pizza
Top250	196	La Madeleine Country French Cafe	NA	174	2.4%	87	0.0%	NA	Bakery Cafe
Top250	175	Which Wich	Under the guidance of new President Cherry Hearn, the chain updated its food and beverage menu, starting with the introduction of french fries in July. It also planned to add more chef-created sandwiches in addition to its extensive build-your-own options.	193	-4.2%	372	-3.9%	NA	Sandwich
Top250	86	Noodles & Company	The chain followed up on its successful 2018 introduction of zucchini noodles with a cauliflower-based noodle last year. It also saw growth via digital channels and catering, and said it was poised to resume franchise growth that had slowed in recent years as the chain stabilized.	533	0.9%	457	-0.4%	NA	Fast Casual & Asian/Noodle
Top250	182	Johnny Rockets	NA	186	-10.2%	155	-11.4%	NA	Varied Menu
